;Fruit;Company;Clean Format;Sum of Volume;Average of Price
;mango;;;;
;;;Unknown;0 MT;1 000 USD/MT
;;;;;
;;FRUTICAL S.A.C.;;;
;;;Unknown;60 MT;2 899 USD/MT
;;;Pulp;24 MT;3 370 USD/MT
;;;Chunks;22 MT;2 557 USD/MT
;;;(blank);22 MT;2 670 USD/MT
;;;Slices;17 MT;3 305 USD/MT
;;;;;
;;MEBOL SAC;;;
;;;Unknown;78 MT;2 669 USD/MT
;;;Chunks;32 MT;3 507 USD/MT
;;;Pulp;23 MT;3 425 USD/MT
;;;;;
;;FRUTÍCOLA OLMUÉ PERÚ S.A.C.;;;
;;;Chunks;48 MT;2 994 USD/MT
;;;Cubes;36 MT;3 765 USD/MT
;;;;;
;;AGROINDUSTRIAL ESTANISLAO DEL CHIMU S.A.C.;;;
;;;Unknown;81 MT;3 051 USD/MT
;;;;;
Avocado;;FRUTOS TROPICALES PERU EXPORT SOCIEDAD A;;;
;;;Unknown;80 MT;3 227 USD/MT
;;;Pulp;0 MT;1 000 USD/MT
;;;Chunks;0 MT; 835 USD/MT
;;;Halves;0 MT; 835 USD/MT
;;;;;
;;PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO;;;
;;;Chunks;45 MT;1 490 USD/MT
;;;(blank);8 MT;2 955 USD/MT
;;;Pulp;0 MT; 552 USD/MT
;;;;;
;;NORPERU COMPANY CV E.I.R.L.;;;
;;;Chunks;26 MT;2 937 USD/MT
;;;Pulp;24 MT;2 725 USD/MT
;;;;;
;;CFRUITS PERU E.I.R.L.;;;
;;;Unknown;44 MT;3 554 USD/MT
;;;;;
;;AGRICOLA CERRO PRIETO S.A.;;;
;;;Unknown;43 MT;2 991 USD/MT
;;;;;
;;COTRINA EXPORTS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - COTRINA EXPORTS E.I.R.L.;;;
;;;Pulp;24 MT;3 928 USD/MT
;;;;;
;;;;;
;blueberry;;;;
Bluebery;;CAMPOSOL S.A.;;;
;;;Unknown;11 218 MT;2 395 USD/MT
;;;;;
;;VIRÚ GROUP PERÚ S.A.;;;
;;;Unknown;1 268 MT;2 423 USD/MT
;;;Chunks;1 001 MT;2 746 USD/MT
;;;Whole;253 MT;1 864 USD/MT
;;;;;
;;AGROVISION PERU S.A.C.;;;
;;;Unknown;2 109 MT;1 389 USD/MT
;;;;;
;;FRUTICAL S.A.C.;;;
;;;Unknown;1 627 MT;2 206 USD/MT
;;;(blank);96 MT;2 227 USD/MT
;;;;;
;;AGROINDUSTRIAS AIB S.A;;;
;;;(blank);1 084 MT;2 229 USD/MT
;;;Unknown;287 MT;2 125 USD/MT
;;;Chunks;263 MT;2 178 USD/MT
;;;;;
;;COMPLEJO AGROINDUSTRIAL BETA S.A.;;;
;;;Unknown;1 498 MT;2 063 USD/MT
;;;Chunks;46 MT;1 953 USD/MT
;;;;;
;;SUNSHINE EXPORT S.A.C;;;
;;;Unknown;1 357 MT;2 685 USD/MT
;;;;;
;;DOMINUS S.A.C;;;
;;;Unknown;1 096 MT;2 217 USD/MT
Bluebery;;;;;
;;FRUTOS TROPICALES PERU EXPORT SOCIEDAD A;;;
;;;Unknown;1 041 MT;2 492 USD/MT
;;;;;
;;DANPER TRUJILLO S.A.C.;;;
;;;Unknown;577 MT;2 342 USD/MT
;;;;;
;;MEBOL GF S.A.C.;;;
;;;Chunks;304 MT;2 534 USD/MT
;;;Unknown;238 MT;1 988 USD/MT
;;;;;
;;MEBOL SAC;;;
;;;Chunks;386 MT;2 407 USD/MT
;;;Unknown;140 MT;1 883 USD/MT
;;;Whole;8 MT; 420 USD/MT
;;;;;
;;SOCIEDAD MERCANTIL (EXPORTACION) SA;;;
;;;Unknown;432 MT;1 630 USD/MT
;;;Whole;88 MT;1 826 USD/MT
;;;;;
;;VIRU S.A.;;;
;;;Unknown;189 MT;3 209 USD/MT
;;;Chunks;178 MT;2 707 USD/MT
;;;Whole;24 MT;2 850 USD/MT
;;;;;
;;UNION DE NEGOCIOS CORPORATIVOS SOCIEDAD ANONIMA CERRADA;;;
;;;Whole;336 MT;2 470 USD/MT
;;;(blank);16 MT;2 450 USD/MT
;;;Pulp;2 MT;2 517 USD/MT
;;;Unknown;0 MT;1 000 USD/MT
;;;;;
Bluebery;;AGRICOLA LOS MEDANOS S.A.;;;
;;;Unknown;348 MT;2 787 USD/MT
;;;Cubes;0 MT; 200 USD/MT
;;;;;
;;AGRICOLA CERRO PRIETO S.A.;;;
;;;Unknown;299 MT;3 561 USD/MT
;;;;;
;;FRUTÍCOLA OLMUÉ PERÚ S.A.C.;;;
;;;(blank);191 MT;2 430 USD/MT
;;;Unknown;67 MT;2 310 USD/MT
;;;;;
;;EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D;;;
;;;Whole;144 MT;2 472 USD/MT
;;;Unknown;96 MT;2 355 USD/MT
;;;;;
;;DEL ANDE ALIMENTOS S.A.C.;;;
;;;Unknown;188 MT;2 047 USD/MT
;;;Whole;11 MT;1 479 USD/MT
;;;;;
;;AGROEMPAQUES S.A.;;;
;;;Unknown;168 MT;3 039 USD/MT
;;;;;
;;AGRO FROST S.A.C.;;;
;;;Unknown;72 MT;2 075 USD/MT
;;;Whole;54 MT;2 218 USD/MT
;;;;;
;;P & M FRUITS S.A.C.;;;
;;;Unknown;72 MT;2 243 USD/MT
;;;;;
;;GAMN EXPORT & IMPORT SERV GNRAL S.A.C.;;;
;;;Unknown;24 MT;2 345 USD/MT
;;;;;
;;FUSION FOODS S.A.C.;;;
;;;(blank);24 MT;1 262 USD/MT
;;;;;
;;SERVICIOS PROCESADORA PERU S.A.C.;;;
;;;Unknown;24 MT;1 531 USD/MT
;;;;;
;;;;;
;passion_fruit;;;;
Passion Fruit;;MEBOL SAC;;;
;;;Chunks;370 MT;3 911 USD/MT
;;;Unknown;215 MT;2 678 USD/MT
;;;;;
;;UNION DE NEGOCIOS CORPORATIVOS SOCIEDAD ANONIMA CERRADA;;;
