fruit_name,Exporter,format_type,Shipments,Avg Price USD/MT,Median Price USD/MT,Std Dev,Min Price USD/MT,Max Price USD/MT,Total Volume MT,Destination Countries,Organic,IQF,Certifications
blueberry,MEBOL SAC,chunks,12,2461.01,2456.33,113.94,2305.0,2607.34,287.99,"Germany, Netherlands, Poland",No,No,
blueberry,MEBOL SAC,unknown,4,2235.23,2305.0,152.93,2006.25,2324.67,96.0,"Belgium, Germany, United Kingdom",No,No,
blueberry,MONDO IMPRENDITORE S.A.C.,unknown,1,625.0,625.0,,625.0,625.0,0.01,Germany,No,No,
blueberry,P & M FRUITS S.A.C.,unknown,2,2250.0,2250.0,0.0,2250.0,2250.0,48.0,Poland,No,No,
blueberry,PROYECTOS & EXPORTACIONES CASMA S.A.C.,unknown,1,5550.0,5550.0,,5550.0,5550.0,3.0,United Kingdom,No,No,
blueberry,SERVICIOS PROCESADORA PERU S.A.C.,unknown,1,1530.83,1530.83,,1530.83,1530.83,23.99,Germany,No,No,
blueberry,SOCIEDAD MERCANTIL (EXPORTACION) SA,unknown,17,1649.39,1712.67,124.04,1497.67,1791.67,408.0,"Belgium, Germany, Poland",No,No,
blueberry,SOCIEDAD MERCANTIL (EXPORTACION) SA,whole,4,1825.5,1825.5,36.48,1793.91,1857.09,88.0,Poland,No,No,
blueberry,SUNSHINE EXPORT S.A.C,unknown,32,2246.13,2295.26,430.88,1619.8,3030.0,691.52,"Italy, Netherlands, Poland, Sweden, United Kingdom",No,No,
blueberry,UNION DE NEGOCIOS CORPORATIVOS SOCIEDAD ANONIMA CERRADA,whole,4,2397.42,2394.86,112.57,2300.0,2499.97,94.03,"Germany, Italy, Poland",No,No,
blueberry,VIRU S.A.,chunks,4,2554.52,2555.29,408.77,2198.96,2908.52,71.0,"Netherlands, Poland, Spain",No,No,
blueberry,VIRU S.A.,unknown,11,1433.64,1170.0,1101.64,200.0,2850.0,72.16,"France, Netherlands, Poland, Slovenia, Spain",No,No,
blueberry,VIRU S.A.,whole,1,2850.0,2850.0,,2850.0,2850.0,24.0,United Kingdom,No,No,
blueberry,VIRÚ GROUP PERÚ S.A.,chunks,6,2008.32,1986.75,269.94,1621.37,2469.82,135.0,"Italy, Netherlands, Poland",No,No,
blueberry,VIRÚ GROUP PERÚ S.A.,unknown,27,1450.25,1637.21,947.16,2.0,2574.71,394.23,"France, Poland, Spain, Sweden, United Kingdom",No,No,
blueberry,VIRÚ GROUP PERÚ S.A.,whole,2,1776.25,1776.25,1041.21,1040.0,2512.5,24.0,"Spain, United Kingdom",No,No,
camu_camu,FRUTAMA S.A.C.,pulp,1,8000.0,8000.0,,8000.0,8000.0,0.1,United Kingdom,No,No,
camu_camu,"MCMC PERU S.A,C,",unknown,2,48095.0,48095.0,2694.08,46190.0,50000.0,0.03,Switzerland,No,No,
camu_camu,MERRILL CORPORACION S.A.C.,unknown,5,54174.97,50321.43,5682.31,49875.0,60623.0,0.24,Czech Republic,No,No,
cherimoya,FUSION FOODS S.A.C.,pulp,2,5847.28,5847.28,295.02,5638.67,6055.89,0.65,Spain,No,No,
golden_berry,AGC IMPORTACIONES S.A.C.,unknown,2,9000.0,9000.0,4242.64,6000.0,12000.0,0.0,Netherlands,No,No,
golden_berry,FRUTOS TONGORRAPE SOCIEDAD ANONIMA,iqf,3,1023.33,90.0,1668.81,30.0,2950.0,8.01,Netherlands,No,Yes,
golden_berry,MEBOL GF S.A.C.,unknown,1,425.0,425.0,,425.0,425.0,0.0,Belgium,No,No,
golden_berry,MONDO IMPRENDITORE S.A.C.,unknown,1,666.67,666.67,,666.67,666.67,0.0,France,No,No,
golden_berry,PERUVIAN FOOD GROUPS SOCIEDAD ANONIMA CERRADA.,whole,1,3350.0,3350.0,,3350.0,3350.0,8.0,Netherlands,No,Yes,
grape,DOMINUS S.A.C,unknown,11,1479.07,1523.14,805.45,320.0,3431.71,147.01,"Belgium, France, Netherlands, Poland, United Kingdom",No,No,
grape,MEBOL GF S.A.C.,unknown,1,425.0,425.0,,425.0,425.0,0.0,Belgium,No,No,
grape,MONDO IMPRENDITORE S.A.C.,unknown,1,666.67,666.67,,666.67,666.67,0.01,France,No,No,
grape,VIRU S.A.,unknown,2,227.0,227.0,0.0,227.0,227.0,0.02,Spain,No,No,
grape,VIRÚ GROUP PERÚ S.A.,unknown,2,84.34,84.34,116.44,2.0,166.67,0.01,"Spain, Sweden",No,No,
