Exporter;Fruit;Format;Average of Average Price (USD/MT);Sum of Volume (MT)
;;pulp;2 660 USD/MT;0 MT
INDUSTRIAS SISA S.A.C.;;;2 661 USD/MT;5 MT
;passion_fruit;;;
;;pulp;2 122 USD/MT;5 MT
;lucuma;;;
;;pulp;3 200 USD/MT;0 MT
SOLIMAR INDUSTRIA E.I.R.L.;;;1 547 USD/MT;5 MT
;mango;;;
;;chunks;1 547 USD/MT;5 MT
EMPRESA AGRARIA CAFETALERA CHANCHAMAYO H;;;4 672 USD/MT;0 MT
;passion_fruit;;;
;;pulp;4 672 USD/MT;0 MT
FRUTAMA S.A.C.;;;8 000 USD/MT;0 MT
;camu_camu;;;
;;pulp;8 000 USD/MT;0 MT
MONDO IMPRENDITORE S.A.C.;;;111 USD/MT;0 MT
;mango;;;
;;pulp;111 USD/MT;0 MT
GANDULES INC SAC;;;1 024 USD/MT;0 MT
;mango;;;
;;iqf;1 024 USD/MT;0 MT
ANDEAN PARTNER FOOD S.A.C.;;;200 USD/MT;0 MT
;mango;;;
;;cubes;200 USD/MT;0 MT
;;strips;200 USD/MT;0 MT
ANDES TRADERS S.A.C.;;;1 142 USD/MT;0 MT
;mango;;;
;;chunks;1 142 USD/MT;0 MT
;;pulp;1 142 USD/MT;0 MT
;pineapple;;;
;;chunks;1 142 USD/MT;0 MT
;;pulp;1 142 USD/MT;0 MT
AGROINDUSTRIAS CRIAL S.A.C.;;;3 467 USD/MT;0 MT
;pineapple;;;
;;pulp;1 500 USD/MT;0 MT
;banana;;;
;;pulp;7 400 USD/MT;0 MT
;passion_fruit;;;
;;pulp;1 500 USD/MT;0 MT
ALIMENTOS HIMALAYA PERU E.I.R.L.;;;250 USD/MT;0 MT
;mango;;;
;;pulp;250 USD/MT;0 MT
;passion_fruit;;;
;;pulp;250 USD/MT;0 MT
Grand Total;;;2 307 USD/MT;35 947 MT
